pob,año,id_ent,id_mun,mun
25980.5922691,2016,12,40,Leonardo Bravo
77905.702635,2025,26,48,Puerto Peñasco
4817.3273233,2023,31,22,Chikindzonot
5332.1685699,2018,31,87,Tetiz
9747.3016861,2021,28,34,San Carlos
1898.0388845,2010,31,72,Suma
45393.856711,2012,20,334,Villa de Tututepec de Melchor Ocampo
3338.6416634,2025,31,43,Kaua
101041.501728,2014,30,123,Pánuco
134417.423414,2013,22,11,El Marqués
6178.8093401,2018,21,173,Teteles de Avila Castillo
13145.9194458,2027,17,27,Totolapan
4112.7644643,2025,20,306,San Pedro el Alto
55372.050902,2011,8,29,Guadalupe y Calvo
98694.418535,2016,14,63,Ocotlán
173524.053345,2030,15,35,Huehuetoca
19105.8819316,2023,14,74,San Julián
10847.0959721,2025,24,27,San Ciro de Acosta
164429.719037,2024,11,23,Pénjamo
3352.8863552,2014,31,24,Chumayel
1245.85062127,2019,20,528,Santos Reyes Tepejillo
56265.269294,2018,8,27,Guachochi
309507.13698,2016,25,11,Guasave
5733.975913,2012,30,42,Colipa
40157.583191,2019,29,15,Ixtacuixtla de Mariano Matamoros
12002.5196086,2016,16,36,Huandacareo
48773.605448,2018,16,55,Múgica
193281.045532,2024,15,5,Almoloya de Juárez
1871.4630377,2011,5,16,Lamadrid
2270.9307945,2012,10,29,San Luis del Cordero
18580.7715365,2021,21,163,Tepatlaxco de Hidalgo
57424.311854,2019,21,186,Tlatlauquitepec
15384.6712441,2023,21,63,Esperanza
372685.003904,2011,19,21,Gral. Escobedo
27625.8412728,2019,7,8,Angel Albino Corzo
37270.984679,2017,7,37,Huehuetán
42974.24659,2022,18,9,Del Nayar
42354.379443,2016,16,38,Huetamo
40966.203835,2023,20,565,Villa de Zaachila
12593.4813984,2030,20,25,Chahuites
5935.8497536,2026,31,37,Huhí
30179.687624,2030,30,206,Nanchital de Lázaro Cárdenas del Río
4347.6463236,2030,31,12,Cenotillo
78007.750757,2017,29,25,San Pablo del Monte
3758.3585749,2030,31,51,Mocochá
24758.8049301,2010,12,39,Juan R. Escudero
406263.17162,2030,3,3,La Paz
1960.86287453,2011,8,41,Maguarichi
7693.9507467,2017,7,33,Francisco León
16589.7230371,2022,16,4,Angamacutiro
28581.4078107,2030,19,10,Carmen
49823.607798,2026,24,11,Ciudad Fernández
1048.92923764,2028,20,451,Santiago Apoala
12962.4353971,2028,20,418,Santa María Jalapa del Marqués
20620.9636167,2018,13,15,Cardonal
660.16577666,2030,20,246,San Mateo Cajonos
10119.4518885,2017,21,38,Cuapiaxtla de Madero
4678.5300152,2013,20,367,Santa Catarina Mechoacán
13680.4035268,2022,32,7,Concepción del Oro
23466.880353,2016,13,18,Chapulhuacán
25990.9527034,2019,20,401,Santa María Colotepec
13485.0057087,2019,16,44,Jiménez
119701.161092,2012,28,21,El Mante
13244.7137489,2030,30,199,Zaragoza
856.71702417,2017,20,282,San Miguel Tenango
9383.4519154,2027,30,165,Tepatlaxco
13072.132276,2017,29,27,Tenancingo
92847.954939,2017,30,38,Coatepec
3692.808104,2019,28,26,Miquihuana
10104.1236998,2013,20,338,Villa de Etla
167723.813413,2024,22,11,El Marqués
11019.3027065,2017,30,90,Jamapa
77551.154202,2023,22,12,Pedro Escobedo
